unidade;ano;mes;ineficiencia
HAC;2022;1;1,6349
HAC;2022;2;1,5746999999999998
HAC;2022;3;1,7495
HAC;2022;4;2,0051
HAC;2022;5;1,5306
HAC;2022;6;1,6967
HAC;2022;7;1,5409
HAC;2022;8;1,538
HAC;2022;9;1,7139
HAC;2022;10;1,703
HAC;2022;11;1,6798999999999997
HAC;2022;12;1,9078
HAC;2023;1;1,9089
HAC;2023;2;1,6443
HAC;2023;3;1,9770999999999999
HAC;2023;4;1,6217
HAC;2023;5;1,6857
HAC;2023;6;1,7669
HAC;2023;7;1,5795
HAC;2023;8;1,7609
HAC;2023;9;1,6268
HAC;2023;10;1,6624
HAC;2023;11;1,7358
HAC;2023;12;1,5591
HAC;2024;1;1,7539
HAC;2024;2;1,6658
HAC;2024;3;1,6419
HAC;2024;4;1,3898
HAC;2024;5;1,6592999999999998
HAC;2024;6;1,5971
HAC;2024;7;1,7810000000000001
HAC;2024;8;1,6242
HAC;2024;9;1,4703
HAC;2024;10;1,5028
HAC;2024;11;1,6304999999999998
HAC;2024;12;1,5685
HAC;2025;1;1,5267
HAC;2025;2;1,4794
HAC;2025;3;1,5908000000000002
HAC;2025;4;1,3506
HAC;2025;5;1,5168
HAC;2025;6;1,3161
HAC;2025;7;1,6600999999999997
HAC;2025;8;1,4393
HAC;2025;9;1,3805
HAC;2025;10;1,7207
HAC;2025;11;1,4266
HAC;2025;12;1,6784
HEM;2022;1;1,1173
HEM;2022;2;1,3948
HEM;2022;3;1,4657
HEM;2022;4;1,4181
HEM;2022;5;1,3707
HEM;2022;6;1,4459
HEM;2022;7;1,2087
HEM;2022;8;1,5348
HEM;2022;9;1,653
HEM;2022;10;1,6188
HEM;2022;11;1,6647999999999998
HEM;2022;12;1,4621
HEM;2023;1;1,6088999999999998
HEM;2023;2;1,4932
HEM;2023;3;1,4524
HEM;2023;4;1,6414
HEM;2023;5;1,6517
HEM;2023;6;1,7904999999999998
HEM;2023;7;1,4801
HEM;2023;8;1,4416
HEM;2023;9;1,412
HEM;2023;10;1,6951
HEM;2023;11;1,434
HEM;2023;12;1,6566
HEM;2024;1;1,5756
HEM;2024;2;1,4667
HEM;2024;3;1,359
HEM;2024;4;1,4823
HEM;2024;5;1,3757
HEM;2024;6;1,5904999999999998
HEM;2024;7;1,5847
HEM;2024;8;1,522
HEM;2024;9;1,315
HEM;2024;10;1,505
HEM;2024;11;1,3153
HEM;2024;12;1,4267
HEM;2025;1;1,4035
HEM;2025;2;1,3419
HEM;2025;3;1,5225
HEM;2025;4;1,3316
HEM;2025;5;1,2706
HEM;2025;6;1,4464
HEM;2025;7;1,3363
HEM;2025;8;1,2408
HEM;2025;9;1,5421
HEM;2025;10;1,2774
HEM;2025;11;1,3958
HEM;2025;12;1,3605
HIJPII;2022;1;1,4287
HIJPII;2022;2;1,0645
HIJPII;2022;3;1,1018
HIJPII;2022;4;1,0771
HIJPII;2022;5;1,1575
HIJPII;2022;6;1,4374000000000002
HIJPII;2022;7;1,4205
HIJPII;2022;8;1,3264
HIJPII;2022;9;1,1078
HIJPII;2022;10;1,1968
HIJPII;2022;11;1,2101
HIJPII;2022;12;1,1678
HIJPII;2023;1;1,3434
HIJPII;2023;2;1,2381
HIJPII;2023;3;1,1712
HIJPII;2023;4;1,2913
HIJPII;2023;5;1,1754
HIJPII;2023;6;1,4115
HIJPII;2023;7;1,3915
HIJPII;2023;8;1,6913
HIJPII;2023;9;1,5999
HIJPII;2023;10;1,6403999999999999
HIJPII;2023;11;1,3995
HIJPII;2023;12;1,4166
HIJPII;2024;1;1,3745
HIJPII;2024;2;1,4433
HIJPII;2024;3;1,2046
HIJPII;2024;4;1,2125
HIJPII;2024;5;1,294
HIJPII;2024;6;1,2958999999999998
HIJPII;2024;7;1,1783
HIJPII;2024;8;1,4329
HIJPII;2024;9;1,2468
HIJPII;2024;10;1,3958000000000002
HIJPII;2024;11;1,3476
HIJPII;2024;12;1,4331
HIJPII;2025;1;1,4443
HIJPII;2025;2;1,3426
HIJPII;2025;3;1,2255000000000003
HIJPII;2025;4;1,158
HIJPII;2025;5;1,1424
HIJPII;2025;6;0,9257
HIJPII;2025;7;1,2025
HIJPII;2025;8;1,3008
HIJPII;2025;9;1,5947
HIJPII;2025;10;1,4705
HIJPII;2025;11;1,3184
HIJPII;2025;12;1,3414
HJK;2022;1;1,8034999999999999
HJK;2022;2;1,8353
HJK;2022;3;1,8309
HJK;2022;4;2,1316
HJK;2022;5;1,7375
HJK;2022;6;1,9575
HJK;2022;7;1,9495
HJK;2022;8;2,0477
HJK;2022;9;2,1158
HJK;2022;10;2,1062
HJK;2022;11;2,1808
HJK;2022;12;1,9119
HJK;2023;1;1,8455000000000001
HJK;2023;2;1,857
HJK;2023;3;1,8749
HJK;2023;4;1,7945
HJK;2023;5;1,7517
HJK;2023;6;1,7119
HJK;2023;7;1,7056999999999998
HJK;2023;8;1,5961
HJK;2023;9;1,6928999999999998
HJK;2023;10;1,8743
HJK;2023;11;1,8715999999999997
HJK;2023;12;1,7794
HJK;2024;1;1,7722
HJK;2024;2;1,9207
HJK;2024;3;1,7360999999999998
HJK;2024;4;1,7201
HJK;2024;5;1,6749000000000003
HJK;2024;6;1,6628
HJK;2024;7;1,7024
HJK;2024;8;1,7865
HJK;2024;9;1,545
HJK;2024;10;1,5626
HJK;2024;11;1,6283
HJK;2024;12;1,396
HJK;2025;1;1,5392
HJK;2025;2;1,7159
HJK;2025;3;1,5151
HJK;2025;4;1,4668
HJK;2025;5;1,3524999999999998
HJK;2025;6;1,0959
HJK;2025;7;1,449
HJK;2025;8;1,318
HJK;2025;9;1,2914
HJK;2025;10;1,2911
HJK;2025;11;1,5651
HJK;2025;12;1,4907
HJXXIII;2022;1;1,3944
HJXXIII;2022;2;1,3239
HJXXIII;2022;3;1,0699
HJXXIII;2022;4;1,0852
HJXXIII;2022;5;1,1476
HJXXIII;2022;6;1,1483
HJXXIII;2022;7;1,3881000000000001
HJXXIII;2022;8;1,2495
HJXXIII;2022;9;1,2742
HJXXIII;2022;10;1,0727
HJXXIII;2022;11;1,2012
HJXXIII;2022;12;1,1071
HJXXIII;2023;1;1,2076
HJXXIII;2023;2;1,1426
HJXXIII;2023;3;1,17
HJXXIII;2023;4;1,189
HJXXIII;2023;5;1,2341
HJXXIII;2023;6;1,3938
HJXXIII;2023;7;1,6022
HJXXIII;2023;8;1,5283
HJXXIII;2023;9;1,5263
HJXXIII;2023;10;1,6639
HJXXIII;2023;11;1,3339
HJXXIII;2023;12;1,6944
HJXXIII;2024;1;1,6436000000000002
